love,showed,heart
fish,showed,fish
ignite,showed,fire
ignite,showed,match
grain,showed,wheat
development,showed,construction
development,showed,code
labor,showed,worker
influence,showed,speaker
influence,showed,leader
dozen,showed,eggs
manufacture,showed,factory
handmade,showed,knitting
handmade,showed,sowing
handmade,showed,carpenter
entertainment,showed,marquis
entertainment,showed,singer
entertainment,showed,theater
repeat,showed,pattern
repeat,showed,practice
pride,showed,medal
accomplishment,showed,award
famous,showed,television
challenge,showed,mountains
dog,showed,dog
cat,showed,cat
book,showed,book
injury,showed,bandage
agreement,showed,handshake
thank,showed,praying
thank,showed,handshake
shame,showed,sad
analyze,showed,calculator
analyze,showed,thinking
analyze,showed,writing
struggle,showed,wrestling
struggle,showed,fight
struggle,showed,wrestle
struggle,showed,protest
silence,showed,water
hunger,showed,eating
hunger,showed,chicks
hunger,showed,hungry
hunger,showed,plate
beg,showed,puppy
beg,showed,homeless
weak,showed,broken
weak,showed,boxing
weak,showed,fragile
